id,user_id,name,icon,color,is_default,created_at
550e8400-e29b-41d4-a716-446655440001,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Alimentação,🍽️,#FF6B6B,true,2025-01-01T10:00:00Z
550e8400-e29b-41d4-a716-446655440002,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Transporte,🚗,#4ECDC4,true,2025-01-01T10:00:00Z
550e8400-e29b-41d4-a716-446655440003,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Moradia,🏠,#45B7D1,true,2025-01-01T10:00:00Z
550e8400-e29b-41d4-a716-446655440004,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Saúde,🏥,#96CEB4,true,2025-01-01T10:00:00Z
550e8400-e29b-41d4-a716-446655440005,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Educação,📚,#FFEAA7,true,2025-01-01T10:00:00Z
550e8400-e29b-41d4-a716-446655440006,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Lazer,🎮,#DDA0DD,true,2025-01-01T10:00:00Z
550e8400-e29b-41d4-a716-446655440007,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Compras,🛍️,#F8BBD9,true,2025-01-01T10:00:00Z
550e8400-e29b-41d4-a716-446655440008,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Contas,📄,#FFC107,true,2025-01-01T10:00:00Z
550e8400-e29b-41d4-a716-446655440009,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Salário,💰,#98D8C8,true,2025-01-01T10:00:00Z
550e8400-e29b-41d4-a716-446655440010,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Freelance,💻,#F7DC6F,true,2025-01-01T10:00:00Z
550e8400-e29b-41d4-a716-446655440011,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Investimentos,📈,#BB8FCE,true,2025-01-01T10:00:00Z
550e8400-e29b-41d4-a716-446655440012,f929c7f7-af6a-4b3c-99f0-80cbdc6e0766,Outros,📦,#AED6F1,true,2025-01-01T10:00:00Z


